"BinNo","MemberName"
"553056","AKBANK"
"557113","AKBANK"
"557829","AKBANK"
"589004","AKBANK"
"979206","AKBANK"
"979207","AKBANK"
"979208","AKBANK"
"403836","ŞEKERBANK"
"411156","ŞEKERBANK"
"411157","ŞEKERBANK"
"411158","ŞEKERBANK"
"411159","ŞEKERBANK"
"421086","ŞEKERBANK"
"423833","ŞEKERBANK"
"433383","ŞEKERBANK"
"459068","ŞEKERBANK"
"459268","ŞEKERBANK"
"489401","ŞEKERBANK"
"494063","ŞEKERBANK"
"494064","ŞEKERBANK"
"516846","ŞEKERBANK"
"519753","ŞEKERBANK"
"521394","ŞEKERBANK"
"525404","ŞEKERBANK"
"527657","ŞEKERBANK"
"530866","ŞEKERBANK"
"547311","ŞEKERBANK"
"549208","ŞEKERBANK"
"589713","ŞEKERBANK"
"676832","ŞEKERBANK"
"374421","GARANTİ BANKASI"
"374422","GARANTİ BANKASI"
"374424","GARANTİ BANKASI"
"374425","GARANTİ BANKASI"
"374426","GARANTİ BANKASI"
"374427","GARANTİ BANKASI"
"375622","GARANTİ BANKASI"
"375623","GARANTİ BANKASI"
"375624","GARANTİ BANKASI"
"375625","GARANTİ BANKASI"
"375626","GARANTİ BANKASI"
"375627","GARANTİ BANKASI"
"375628","GARANTİ BANKASI"
"375629","GARANTİ BANKASI"
"375631","GARANTİ BANKASI"
"377137","GARANTİ BANKASI"
"401738","GARANTİ BANKASI"
"403280","GARANTİ BANKASI"
"403666","GARANTİ BANKASI"
"404308","GARANTİ BANKASI"
"405051","GARANTİ BANKASI"
"405090","GARANTİ BANKASI"
"409219","GARANTİ BANKASI"
"410141","GARANTİ BANKASI"
"413836","GARANTİ BANKASI"
"420556","GARANTİ BANKASI"
"420557","GARANTİ BANKASI"
"426886","GARANTİ BANKASI"
"426887","GARANTİ BANKASI"
"426888","GARANTİ BANKASI"
"426889","GARANTİ BANKASI"
"427314","GARANTİ BANKASI"
"427315","GARANTİ BANKASI"
"428220","GARANTİ BANKASI"
"428221","GARANTİ BANKASI"
"432154","GARANTİ BANKASI"
"448472","GARANTİ BANKASI"
"461668","GARANTİ BANKASI"
"462274","GARANTİ BANKASI"
"467293","GARANTİ BANKASI"
"467294","GARANTİ BANKASI"
"467295","GARANTİ BANKASI"
"474151","GARANTİ BANKASI"
"479682","GARANTİ BANKASI"
"482489","GARANTİ BANKASI"
"482490","GARANTİ BANKASI"
"482491","GARANTİ BANKASI"
"486567","GARANTİ BANKASI"
"487074","GARANTİ BANKASI"
"487075","GARANTİ BANKASI"
"489455","GARANTİ BANKASI"
"489478","GARANTİ BANKASI"
"490175","GARANTİ BANKASI"
"492186","GARANTİ BANKASI"
"492187","GARANTİ BANKASI"
"492193","GARANTİ BANKASI"
"493845","GARANTİ BANKASI"
"514915","GARANTİ BANKASI"
"516943","GARANTİ BANKASI"
"516961","GARANTİ BANKASI"
"517040","GARANTİ BANKASI"
"517041","GARANTİ BANKASI"
"517042","GARANTİ BANKASI"
